PACIFIC MALL,,,,,
"August 14, 2026",,,,,
6:00 AM - 8:00 AM,,,,,
Time,Jeepney Route,Stopped,Passengers,Fullness,Waiting
11:00 – 11:15 AM,RAWIS B,N,—,F,22
,LIGAO,Y,3,P,
,RAWIS A,Y,2,E,
,DIRETSO,Y,2,P,
,TAHAO ROAD,Y,2,P,
,TAHAO ROAD,Y,5,E,
,TAHAO ROAD,N,—,P,
,CAMALIG,Y,—,P,
,DIRETSO,Y,1,P,
,RAWIS A,Y,2,F,
,TAHAO ROAD,Y,2,P,
,LIGAO,Y,1,P,
,OAS,N,—,E,
,TAHAO ROAD,Y,3,P,
,TAHAO ROAD,N,—,P,
,TAHAO ROAD,Y,3,F,
,RAWIS B,Y,1,P,
,ALTERNATE,Y,4,P,
,ALTERNATE,N,—,F,
,RAWIS B,N,—,F,
,DIRETSO,Y,2,F,
,TAHAO ROAD,N,—,P,
11:15 – 11:30 AM,ALTERNATE,Y,—,E,28
,TAHAO ROAD,Y,2,P,
,RAWIS A,N,—,F,
,POLANGUI,Y,1,P,
,DIRETSO,Y,1,E,
,POLANGUI,Y,1,P,
,ALTERNATE,Y,6,F,
,ALTERNATE,Y,3,F,
,ALTERNATE,N,—,F,
,TAHAO ROAD,Y,3,P,
,TAHAO ROAD,Y,1,P,
,TAHAO ROAD,N,—,F,
,DIRETSO,Y,1,F,
,RAWIS B,N,—,F,
,ALTERNATE,N,—,F,
,L2,Y,1,P,
,TAHAO ROAD,Y,3,E,
,ALTERNATE,Y,1,P,
,POLANGUI,N,—,E,
,TAHAO ROAD,Y,4,F,
,TAHAO ROAD,Y,4,P,
,RAWIS B,Y,1,F,
,TAHAO ROAD,N,—,E,
,L2,N,—,P,
,OAS,Y,2,F,
,DIRETSO,Y,—,F,
11:30 – 11:45 AM,DIRETSO,Y,2,P,35
,TAHAO ROAD,Y,5,P,
,TAHAO ROAD,Y,1,E,
,L2,Y,1,F,
,DIRETSO,Y,3,F,
,TAHAO ROAD,N,—,F,
,TAHAO ROAD,Y,2,F,
,RAWIS A,N,—,P,
,TAHAO ROAD,N,—,E,
,TAHAO ROAD,Y,2,F,
,DIRETSO,N,—,P,
,RAWIS A,Y,3,F,
,DIRETSO,N,—,F,
,TAHAO ROAD,Y,2,P,
,RAWIS A,N,—,F,
,TAHAO ROAD,Y,2,P,
,RAWIS B,Y,3,P,
,RAWIS A,Y,4,P,
,DIRETSO,Y,2,P,
,CAMALIG,Y,3,P,
,DIRETSO,Y,2,F,
,DIRETSO,Y,—,P,
,TAHAO ROAD,Y,2,P,
,RAWIS B,Y,2,P,
,TAHAO ROAD,Y,5,F,
,TAHAO ROAD,Y,2,P,
,L1,N,—,F,
,RAWIS B,Y,2,F,
,CAMALIG,N,—,F,
,DIRETSO,Y,5,P,
,POLANGUI,N,—,P,
11:45 AM – 12:00 PM,ALTERNATE,Y,1,E,42
,TAHAO ROAD,Y,2,P,
,RAWIS B,N,—,P,
,POLANGUI,N,—,P,
,TAHAO ROAD,Y,1,P,
,TAHAO ROAD,Y,4,P,
,TAHAO ROAD,Y,3,P,
,TAHAO ROAD,Y,2,P,
,CAMALIG,Y,2,P,
,RAWIS A,Y,—,F,
,ALTERNATE,Y,—,F,
,TAHAO ROAD,Y,2,P,
,ALTERNATE,Y,1,P,
,ALTERNATE,Y,—,F,
,TAHAO ROAD,N,—,F,
,ALTERNATE,N,—,E,
,RAWIS B,N,—,E,
,DIRETSO,Y,6,F,
,DIRETSO,N,—,F,
,TAHAO ROAD,Y,—,F,
,RAWIS B,Y,—,F,
,DIRETSO,Y,2,P,
,ALTERNATE,Y,4,P,
,CAMALIG,N,—,F,
,DIRETSO,Y,—,F,
,TAHAO ROAD,N,—,F,
,TAHAO ROAD,Y,5,P,
,DIRETSO,Y,3,P,
,TAHAO ROAD,Y,3,P,
,DIRETSO,N,—,F,
,LIGAO,Y,2,P,
,DIRETSO,Y,3,F,
,RAWIS B,Y,3,P,
,DIRETSO,N,—,F,
12:00 – 12:15 PM,ALTERNATE,Y,6,P,38
,TAHAO ROAD,N,—,F,
,ALTERNATE,N,—,E,
,ALTERNATE,N,—,P,
,OAS,N,—,P,
,L1,Y,2,P,
,DIRETSO,Y,—,F,
,RAWIS B,Y,—,P,
,TAHAO ROAD,Y,—,F,
,L2,Y,1,P,
,L2,Y,5,P,
,TAHAO ROAD,N,—,P,
,RAWIS A,N,—,P,
,TAHAO ROAD,N,—,F,
,TAHAO ROAD,Y,1,P,
,TAHAO ROAD,Y,3,F,
,RAWIS B,Y,3,F,
,GUINOBATAN,Y,2,P,
,RAWIS A,Y,3,F,
,RAWIS B,N,—,F,
,RAWIS A,Y,1,P,
,L2,Y,3,P,
,LIGAO,Y,5,P,
,TAHAO ROAD,Y,3,F,
,RAWIS B,Y,—,P,
,TAHAO ROAD,N,—,E,
,RAWIS B,Y,2,P,
,TAHAO ROAD,Y,6,P,
,DIRETSO,N,—,P,
,RAWIS B,Y,1,P,
,TAHAO ROAD,Y,1,P,
,TAHAO ROAD,Y,3,P,
12:15 – 12:30 PM,L2,Y,2,P,31
,ALTERNATE,Y,—,P,
,RAWIS A,N,—,P,
,TAHAO ROAD,Y,3,P,
,TAHAO ROAD,Y,2,F,
,TAHAO ROAD,Y,2,P,
,TAHAO ROAD,Y,2,P,
,RAWIS B,Y,—,F,
,TAHAO ROAD,Y,1,P,
,TAHAO ROAD,Y,1,P,
,TAHAO ROAD,Y,2,F,
,ALTERNATE,N,—,F,
,TAHAO ROAD,Y,2,E,
,RAWIS B,Y,1,E,
,ALTERNATE,N,—,P,
,RAWIS A,Y,4,P,
,TAHAO ROAD,Y,—,P,
,OAS,Y,3,F,
,DIRETSO,Y,1,P,
,TAHAO ROAD,Y,2,P,
,CAMALIG,N,—,P,
,L2,Y,2,P,
,TAHAO ROAD,Y,2,P,
,RAWIS B,N,—,F,
,OAS,N,—,F,
,POLANGUI,Y,—,P,
,TAHAO ROAD,N,—,P,
,TAHAO ROAD,N,—,F,
12:30 – 12:45 PM,RAWIS A,Y,—,F,24
,POLANGUI,Y,2,F,
,DIRETSO,Y,3,F,
,ALTERNATE,N,—,P,
,ALTERNATE,Y,1,P,
,RAWIS B,Y,3,P,
,L2,Y,—,P,
,OAS,N,—,P,
,LIGAO,Y,1,P,
,TAHAO ROAD,Y,2,P,
,RAWIS A,N,—,F,
,LIGAO,Y,3,F,
,TAHAO ROAD,Y,3,P,
,TAHAO ROAD,N,—,F,
,RAWIS A,Y,—,P,
,DIRETSO,Y,2,E,
,OAS,N,—,F,
,TAHAO ROAD,Y,3,F,
,POLANGUI,N,—,F,
,TAHAO ROAD,Y,—,P,
,TAHAO ROAD,N,—,P,
,TAHAO ROAD,Y,5,P,
,OAS,Y,3,P,
,RAWIS A,Y,—,E,
12:45 – 1:00 PM,ALTERNATE,N,—,F,18
,TAHAO ROAD,N,—,F,
,L1,Y,—,P,
,OAS,N,—,P,
,TAHAO ROAD,Y,4,P,
,L2,N,—,F,
,CAMALIG,Y,2,P,
,ALTERNATE,Y,3,P,
,DIRETSO,Y,3,F,
,RAWIS B,Y,3,F,
,TAHAO ROAD,Y,2,P,
,RAWIS B,Y,2,P,
,OAS,Y,2,F,
,TAHAO ROAD,Y,—,P,
,RAWIS B,Y,—,F,
,RAWIS B,N,—,P,
,ALTERNATE,Y,2,P,
,L2,Y,1,P,
,RAWIS B,N,—,F,
,RAWIS B,Y,—,P,
,,,,,
PACIFIC MALL,,,,,
"August 14, 2026",,,,,
4:00 PM - 6:00 PM,,,,,
Time,Jeepney Route,Stopped,Passengers,Fullness,Waiting
Time,Jeepney Route,Stopped,Passengers,Fullness,Waiting
4:00–4:15 PM,TAHAO ROAD,Y,3,P,15
,DIRETSO,Y,2,P,
,RAWIS B,Y,1,P,
,ALTERNATE,Y,2,P,
,TAHAO ROAD,N,—,F,
,RAWIS A,Y,1,E,
,DIRETSO,Y,3,P,
,CAMALIG,N,—,F,
,TAHAO ROAD,Y,4,P,
,POLANGUI,Y,1,P,
,L2,Y,1,P,
,RAWIS B,Y,2,P,
,ALTERNATE,N,—,F,
4:15–4:30 PM,TAHAO ROAD,Y,5,P,22
,DIRETSO,Y,3,P,
,ALTERNATE,Y,2,P,
,RAWIS A,Y,2,P,
,RAWIS B,N,—,F,
,TAHAO ROAD,Y,4,E,
,L1,Y,1,P,
,DIRETSO,Y,2,F,
,CAMALIG,Y,2,P,
,TAHAO ROAD,N,—,F,
,POLANGUI,N,—,F,
,LIGAO,Y,2,P,
,ALTERNATE,Y,4,P,
4:30–4:45 PM,TAHAO ROAD,Y,6,P,28
,DIRETSO,Y,4,P,
,ALTERNATE,Y,3,P,
,RAWIS A,N,—,F,
,RAWIS B,Y,3,P,
,TAHAO ROAD,N,—,F,
,DIRETSO,Y,5,F,
,CAMALIG,Y,3,P,
,L2,Y,2,P,
,POLANGUI,Y,2,P,
,TAHAO ROAD,Y,5,E,
,RAWIS A,Y,2,P,
,LIGAO,N,—,F,
4:45–5:00 PM,TAHAO ROAD,Y,8,P,36
,DIRETSO,Y,6,P,
,ALTERNATE,Y,4,F,
,RAWIS A,Y,3,P,
,RAWIS B,Y,4,P,
,TAHAO ROAD,N,—,F,
,DIRETSO,Y,4,F,
,CAMALIG,N,—,F,
,POLANGUI,Y,2,P,
,L1,Y,2,P,
,TAHAO ROAD,Y,6,E,
,RAWIS B,N,—,F,
,LIGAO,Y,3,P,
5:00–5:15 PM,TAHAO ROAD,Y,10,E,46
,DIRETSO,Y,7,P,
,ALTERNATE,N,—,F,
,RAWIS A,Y,4,P,
,RAWIS B,Y,5,F,
,TAHAO ROAD,N,—,F,
,DIRETSO,N,—,F,
,CAMALIG,Y,4,P,
,POLANGUI,Y,3,P,
,L2,Y,3,P,
,TAHAO ROAD,Y,7,P,
,RAWIS A,Y,3,F,
,LIGAO,Y,2,P,
5:15–5:30 PM,TAHAO ROAD,Y,7,P,38
,DIRETSO,Y,5,P,
,ALTERNATE,Y,4,P,
,RAWIS A,N,—,F,
,RAWIS B,Y,3,P,
,TAHAO ROAD,Y,6,P,
,DIRETSO,Y,4,F,
,CAMALIG,Y,3,P,
,POLANGUI,N,—,F,
,L1,Y,2,P,
,TAHAO ROAD,N,—,F,
,RAWIS B,Y,3,E,
5:30–5:45 PM,TAHAO ROAD,Y,5,P,25
,DIRETSO,Y,3,P,
,ALTERNATE,Y,3,P,
,RAWIS A,Y,2,P,
,RAWIS B,Y,2,P,
,TAHAO ROAD,N,—,F,
,DIRETSO,N,—,F,
,CAMALIG,Y,2,P,
,POLANGUI,Y,1,P,
,L2,Y,1,P,
,TAHAO ROAD,Y,4,E,
,LIGAO,Y,1,P,
5:45–6:00 PM,TAHAO ROAD,Y,3,P,14
,DIRETSO,Y,2,P,
,ALTERNATE,Y,2,P,
,RAWIS A,Y,1,P,
,RAWIS B,Y,1,P,
,TAHAO ROAD,Y,3,E,
,DIRETSO,Y,2,P,
,CAMALIG,N,—,P,
,POLANGUI,Y,1,P,
,LIGAO,N,—,P,
